DateTime,CO2_in(ppm),CO2_out(ppm)
2025/02/14 21:56:37,456.2,-9999
2025/02/14 21:58:53,-9999,456.1
2025/02/14 23:56:38,457,-9999
2025/02/14 23:58:53,-9999,457
2025/02/15 01:56:37,457.8,-9999
2025/02/15 01:58:53,-9999,457.9
2025/02/15 03:56:37,459.2,-9999
2025/02/15 03:58:53,-9999,459.2
2025/02/15 05:56:38,458.6,-9999
2025/02/15 05:58:54,-9999,458.5
2025/02/15 07:56:38,458.7,-9999
2025/02/15 07:58:53,-9999,458.7
2025/02/15 09:56:38,455.5,-9999
2025/02/15 09:58:53,-9999,455.4
2025/02/15 11:56:38,453.8,-9999
2025/02/15 11:58:53,-9999,453.9
2025/02/15 13:56:38,454.9,-9999
2025/02/15 13:58:53,-9999,454.9
2025/02/15 15:56:38,457.2,-9999
2025/02/15 15:58:53,-9999,457.2
2025/02/15 17:56:39,454.2,-9999
2025/02/15 17:58:54,-9999,454.3
2025/02/15 19:56:38,456.4,-9999
2025/02/15 19:58:54,-9999,456.4
2025/02/15 21:56:38,457,-9999
2025/02/15 21:58:53,-9999,457
2025/02/15 23:56:38,457.2,-9999
2025/02/15 23:58:53,-9999,457.3
2025/02/16 01:56:38,457.7,-9999
2025/02/16 01:58:54,-9999,457.6
2025/02/16 03:56:37,458.1,-9999
2025/02/16 03:58:53,-9999,458.2
2025/02/16 05:56:38,458.1,-9999
2025/02/16 05:58:53,-9999,458.1
2025/02/16 07:56:38,458.2,-9999
2025/02/16 07:58:53,-9999,458.1
2025/02/16 09:56:38,455.6,-9999
2025/02/16 09:58:53,-9999,455.5
2025/02/16 11:56:38,454.5,-9999
2025/02/16 11:58:53,-9999,454.6
2025/02/16 13:56:38,454.7,-9999
2025/02/16 13:58:53,-9999,454.8
2025/02/16 15:56:38,454.7,-9999
2025/02/16 15:58:54,-9999,454.6
2025/02/16 17:56:38,452.7,-9999
2025/02/16 17:58:53,-9999,452.8
2025/02/16 19:56:38,455.5,-9999
2025/02/16 19:58:53,-9999,455.6
2025/02/16 21:56:38,456.9,-9999
2025/02/16 21:58:53,-9999,456.9
2025/02/16 23:56:38,458.2,-9999
2025/02/16 23:58:53,-9999,458.2
2025/02/17 01:56:38,458.6,-9999
2025/02/17 01:58:53,-9999,458.6
2025/02/17 03:56:37,458.7,-9999
2025/02/17 03:58:53,-9999,458.8
2025/02/17 05:56:38,459.2,-9999
2025/02/17 05:58:53,-9999,459.2
2025/02/17 07:56:38,460.5,-9999
2025/02/17 07:58:53,-9999,460.5
2025/02/17 09:56:37,459.8,-9999
2025/02/17 09:58:53,-9999,459.8
2025/02/17 11:56:38,457.7,-9999
2025/02/17 11:58:53,-9999,457.5
2025/02/17 13:56:37,455.6,-9999
2025/02/17 13:58:53,-9999,455.6
2025/02/17 15:56:38,456.7,-9999
2025/02/17 15:58:53,-9999,456.8
2025/02/17 17:56:38,455.5,-9999
2025/02/17 17:58:53,-9999,455.4
2025/02/17 19:56:37,456.5,-9999
2025/02/17 19:58:53,-9999,456.5
2025/02/17 21:56:37,457.6,-9999
2025/02/17 21:58:53,-9999,457.6
2025/02/17 23:56:38,457.9,-9999
2025/02/17 23:58:53,-9999,457.9
2025/02/18 01:56:38,458,-9999
2025/02/18 01:58:53,-9999,458.1
2025/02/18 03:56:38,458.9,-9999
2025/02/18 03:58:53,-9999,459.1
2025/02/18 05:56:38,459.7,-9999
2025/02/18 05:58:53,-9999,459.7
2025/02/18 07:56:38,460,-9999
2025/02/18 07:58:53,-9999,460
2025/02/18 09:56:38,460.3,-9999
2025/02/18 09:58:53,-9999,460.3
2025/02/18 11:56:38,463.2,-9999
2025/02/18 11:58:54,-9999,465
2025/02/18 13:56:38,464.9,-9999
2025/02/18 13:58:53,-9999,464.7
2025/02/18 15:56:38,469.1,-9999
2025/02/18 15:58:53,-9999,469.1
2025/02/18 17:56:38,461.5,-9999
2025/02/18 17:58:53,-9999,461.6
2025/02/18 19:56:38,462.5,-9999
2025/02/18 19:58:53,-9999,462.5
2025/02/18 21:56:38,462.8,-9999
2025/02/18 21:58:54,-9999,462.8
2025/02/18 23:56:38,462.3,-9999
