DateTime,CO2_MNT_ppm,CO2_LL1m_ppm,CO2_LL13m_ppm
2025-02-02 15:45:00,2015.681396484375,2011.401123046875,405.29443359375
2025-02-02 16:00:00,2015.639404296875,2011.443359375,404.3712768554688
2025-02-02 16:15:00,2015.59765625,2011.359375,406.7632446289063
2025-02-02 16:30:00,2015.513427734375,2011.401123046875,407.2247314453125
2025-02-02 16:45:00,2015.59765625,2011.401123046875,409.4067993164063
2025-02-02 17:00:00,2015.555419921875,2011.359375,412.5540161132813
2025-02-02 17:15:00,2015.59765625,2011.359375,414.652099609375
2025-02-02 17:30:00,2015.59765625,2011.359375,421.8276977539063
2025-02-02 17:45:00,2015.4716796875,2011.275390625,427.5764770507813
2025-02-02 18:00:00,2015.555419921875,2011.3173828125,435.4234008789063
2025-02-02 18:15:00,2015.4716796875,2011.275390625,446.45947265625
2025-02-02 18:30:00,2015.4296875,2011.359375,459.63568115234375
2025-02-02 18:45:00,2015.555419921875,2011.359375,466.8532104492188
2025-02-02 19:00:00,2015.555419921875,2011.401123046875,471.7208251953125
2025-02-02 19:15:00,2015.513427734375,2011.443359375,477.30181884765625
2025-02-02 19:30:00,2015.513427734375,2011.359375,481.7498168945313
2025-02-02 19:45:00,2015.4716796875,2011.401123046875,489.4708862304688
2025-02-02 20:00:00,2015.513427734375,2011.401123046875,491.3172607421875
2025-02-02 20:15:00,2015.4296875,2011.359375,493.499267578125
2025-02-02 20:30:00,2015.4716796875,2011.401123046875,496.898193359375
2025-02-02 20:45:00,2015.4716796875,2011.401123046875,500.2132568359375
2025-02-02 21:00:00,2015.513427734375,2011.359375,501.34619140625
2025-02-02 21:15:00,2015.4716796875,2011.443359375,507.808349609375
2025-02-02 21:30:00,2015.513427734375,2011.527099609375,507.3048095703125
2025-02-02 21:45:00,2015.4716796875,2011.443359375,510.619873046875
2025-02-02 22:00:00,2015.513427734375,2011.4853515625,510.8716430664063
2025-02-02 22:15:00,2015.4296875,2011.443359375,514.690185546875
2025-02-02 22:30:00,2015.555419921875,2011.443359375,514.3545532226562
2025-02-02 22:45:00,2015.555419921875,2011.4853515625,516.5365600585938
2025-02-02 23:00:00,2015.4716796875,2011.443359375,518.3408813476562
2025-02-02 23:15:00,2015.59765625,2011.4853515625,518.0051879882812
2025-02-02 23:30:00,2015.59765625,2011.569091796875,515.7392578125
2025-02-02 23:45:00,2015.513427734375,2011.443359375,517.5855712890625
2025-02-03 00:00:00,2015.4716796875,2011.4853515625,512.9277954101562
2025-02-03 00:15:00,2015.513427734375,2011.443359375,519.0962524414062
2025-02-03 00:30:00,2015.3876953125,2011.443359375,516.4945068359375
2025-02-03 00:45:00,2015.513427734375,2011.443359375,519.0542602539062
2025-02-03 01:00:00,2015.513427734375,2011.569091796875,521.0264892578125
2025-02-03 01:15:00,2015.555419921875,2011.443359375,518.6346435546875
2025-02-03 01:30:00,2015.4716796875,2011.4853515625,519.1801147460938
2025-02-03 01:45:00,2015.513427734375,2011.527099609375,520.0194702148438
2025-02-03 02:00:00,2015.555419921875,2011.569091796875,522.7469482421875
2025-02-03 02:15:00,2015.555419921875,2011.527099609375,522.0755004882812
2025-02-03 02:30:00,2015.4716796875,2011.569091796875,523.4183349609375
2025-02-03 02:45:00,2015.555419921875,2011.527099609375,524.215576171875
2025-02-03 03:00:00,2015.555419921875,2011.527099609375,521.1943359375
2025-02-03 03:15:00,2015.4716796875,2011.527099609375,524.4254150390625
2025-02-03 03:30:00,2015.4296875,2011.4853515625,522.3273315429688
2025-02-03 03:45:00,2015.4296875,2011.527099609375,522.1594848632812
2025-02-03 04:00:00,2015.4296875,2011.4853515625,522.243408203125
2025-02-03 04:15:00,2015.3876953125,2011.527099609375,521.7818603515625
2025-02-03 04:30:00,2015.4716796875,2011.443359375,519.9774169921875
2025-02-03 04:45:00,2015.3876953125,2011.527099609375,519.9354858398438
2025-02-03 05:00:00,2015.4716796875,2011.527099609375,519.6417846679688
2025-02-03 05:15:00,2015.4296875,2011.4853515625,519.0542602539062
2025-02-03 05:30:00,2015.513427734375,2011.527099609375,522.3273315429688
2025-02-03 05:45:00,2015.513427734375,2011.653076171875,522.0755004882812
2025-02-03 06:00:00,2015.3876953125,2011.4853515625,522.0755004882812
2025-02-03 06:15:00,2015.4296875,2011.4853515625,523.4183349609375
2025-02-03 06:30:00,2015.4716796875,2011.527099609375,525.1807861328125
2025-02-03 06:45:00,2015.513427734375,2011.569091796875,524.8870849609375
2025-02-03 07:00:00,2015.513427734375,2011.569091796875,521.3622436523438
2025-02-03 07:15:00,2015.513427734375,2011.527099609375,520.7327270507812
2025-02-03 07:30:00,2015.4716796875,2011.569091796875,517.7534790039062
2025-02-03 07:45:00,2015.4716796875,2011.569091796875,514.5223388671875
2025-02-03 08:00:00,2015.513427734375,2011.527099609375,502.017578125
2025-02-03 08:15:00,2015.4296875,2011.527099609375,496.0589599609375
2025-02-03 08:30:00,2015.59765625,2011.4853515625,481.5819091796875
2025-02-03 08:45:00,2015.555419921875,2011.569091796875,473.31536865234375
2025-02-03 09:00:00,2015.4716796875,2011.443359375,463.1605224609375
2025-02-03 09:15:00,2015.4716796875,2011.4853515625,454.2645263671875
2025-02-03 09:30:00,2015.555419921875,2011.401123046875,443.77392578125
2025-02-03 09:45:00,2015.513427734375,2011.401123046875,435.8010864257813
2025-02-03 10:00:00,2015.59765625,2011.401123046875,430.63970947265625
2025-02-03 10:15:00,2015.555419921875,2011.4853515625,421.2821044921875
2025-02-03 10:30:00,2015.59765625,2011.443359375,416.1207275390625
2025-02-03 10:45:00,2015.639404296875,2011.443359375,410.7076416015625
2025-02-03 11:00:00,2015.59765625,2011.401123046875,409.7005615234375
2025-02-03 11:15:00,2015.59765625,2011.359375,403.1124267578125
2025-02-03 11:30:00,2015.639404296875,2011.359375,407.098876953125
2025-02-03 11:45:00,2015.555419921875,2011.359375,407.182861328125
2025-02-03 12:00:00,2015.639404296875,2011.359375,409.868408203125
2025-02-03 12:15:00,2015.555419921875,2011.3173828125,408.14794921875
2025-02-03 12:30:00,2015.639404296875,2011.359375,400.4688720703125
2025-02-03 12:45:00,2015.513427734375,2011.275390625,398.0769653320313
2025-02-03 13:00:00,2015.555419921875,2011.3173828125,399.4197387695313
2025-02-03 13:15:00,2015.555419921875,2011.275390625,394.46826171875
2025-02-03 13:30:00,2015.555419921875,2011.275390625,399.96533203125
2025-02-03 13:45:00,2015.4716796875,2011.2333984375,398.916259765625
2025-02-03 14:00:00,2015.59765625,2011.19140625,399.96533203125
2025-02-03 14:15:00,2015.555419921875,2011.3173828125,401.5178833007813
2025-02-03 14:30:00,2015.4716796875,2011.275390625,407.770263671875
2025-02-03 14:45:00,2015.4296875,2011.2333984375,411.71478271484375
2025-02-03 15:00:00,2015.513427734375,2011.275390625,414.23248291015625
2025-02-03 15:15:00,2015.4716796875,2011.275390625,411.630859375
2025-02-03 15:30:00,2015.513427734375,2011.3173828125,409.1969604492188
2025-02-03 15:45:00,2015.555419921875,2011.359375,409.6165771484375
2025-02-03 16:00:00,2015.513427734375,2011.3173828125,409.6165771484375
2025-02-03 16:15:00,2015.513427734375,2011.3173828125,409.9103393554688
2025-02-03 16:30:00,2015.555419921875,2011.275390625,410.83349609375
2025-02-03 16:45:00,2015.4716796875,2011.3173828125,410.3299560546875
2025-02-03 17:00:00,2015.513427734375,2011.2333984375,410.83349609375
2025-02-03 17:15:00,2015.59765625,2011.275390625,414.98779296875
2025-02-03 17:30:00,2015.59765625,2011.275390625,419.477783203125
2025-02-03 17:45:00,2015.4296875,2011.19140625,423.548095703125
2025-02-03 18:00:00,2015.513427734375,2011.275390625,430.09423828125
2025-02-03 18:15:00,2015.3876953125,2011.065673828125,446.0398559570313
2025-02-03 18:30:00,2015.345703125,2011.19140625,458.502685546875
2025-02-03 18:45:00,2015.4296875,2011.3173828125,467.3567504882813
2025-02-03 19:00:00,2015.4296875,2011.275390625,469.83245849609375
2025-02-03 19:15:00,2015.3876953125,2011.275390625,475.4554443359375
2025-02-03 19:30:00,2015.3876953125,2011.2333984375,483.176513671875
2025-02-03 19:45:00,2015.3876953125,2011.359375,488.4637451171875
2025-02-03 20:00:00,2015.3876953125,2011.2333984375,489.59674072265625
2025-02-03 20:15:00,2015.513427734375,2011.3173828125,497.31781005859375
2025-02-03 20:30:00,2015.3876953125,2011.359375,504.3674926757813
2025-02-03 20:45:00,2015.4296875,2011.3173828125,506.88519287109375
2025-02-03 21:00:00,2015.4296875,2011.359375,505.2906494140625
2025-02-03 21:15:00,2015.3876953125,2011.359375,507.8504028320313
2025-02-03 21:30:00,2015.513427734375,2011.4853515625,509.1091918945313
2025-02-03 21:45:00,2015.513427734375,2011.443359375,511.1233520507813
2025-02-03 22:00:00,2015.4716796875,2011.401123046875,516.704345703125
2025-02-03 22:15:00,2015.4716796875,2011.443359375,518.2989501953125
2025-02-03 22:30:00,2015.4716796875,2011.401123046875,517.9212646484375
2025-02-03 22:45:00,2015.4296875,2011.359375,520.3131103515625
2025-02-03 23:00:00,2015.513427734375,2011.443359375,520.942626953125
2025-02-03 23:15:00,2015.3876953125,2011.359375,520.1453247070312
2025-02-03 23:30:00,2015.4716796875,2011.443359375,526.06201171875
2025-02-03 23:45:00,2015.345703125,2011.359375,522.4531860351562
2025-02-04 00:00:00,2015.3876953125,2011.359375,523.33447265625
2025-02-04 00:15:00,2015.4296875,2011.527099609375,522.2014770507812
2025-02-04 00:30:00,2015.4296875,2011.527099609375,516.1588745117188
2025-02-04 00:45:00,2015.4716796875,2011.569091796875,518.7185668945312
2025-02-04 01:00:00,2015.345703125,2011.569091796875,520.9845581054688
2025-02-04 01:15:00,2015.513427734375,2011.569091796875,521.6979370117188
2025-02-04 01:30:00,2015.4716796875,2011.611083984375,519.473876953125
2025-02-04 01:45:00,2015.555419921875,2011.611083984375,520.6488647460938
2025-02-04 02:00:00,2015.4716796875,2011.569091796875,519.5578002929688
2025-02-04 02:15:00,2015.4716796875,2011.611083984375,519.3480224609375
2025-02-04 02:30:00,2015.513427734375,2011.653076171875,519.7257080078125
2025-02-04 02:45:00,2015.4716796875,2011.569091796875,518.9284057617188
2025-02-04 03:00:00,2015.513427734375,2011.569091796875,519.473876953125
2025-02-04 03:15:00,2015.3876953125,2011.527099609375,519.7257080078125
2025-02-04 03:30:00,2015.4716796875,2011.527099609375,518.2989501953125
2025-02-04 03:45:00,2015.513427734375,2011.527099609375,521.3202514648438
2025-02-04 04:00:00,2015.4716796875,2011.443359375,521.6558837890625
2025-02-04 04:15:00,2015.513427734375,2011.527099609375,521.7398681640625
2025-02-04 04:30:00,2015.3876953125,2011.611083984375,522.285400390625
2025-02-04 04:45:00,2015.3876953125,2011.569091796875,523.1665649414062
2025-02-04 05:00:00,2015.4716796875,2011.443359375,522.5371704101562
2025-02-04 05:15:00,2015.4296875,2011.4853515625,520.4810180664062
2025-02-04 05:30:00,2015.4296875,2011.401123046875,518.047119140625
2025-02-04 05:45:00,2015.345703125,2011.443359375,521.4041748046875
2025-02-04 06:00:00,2015.4716796875,2011.527099609375,519.3060913085938
2025-02-04 06:15:00,2015.4716796875,2011.4853515625,520.5228881835938
2025-02-04 06:30:00,2015.4716796875,2011.443359375,520.0194702148438
2025-02-04 06:45:00,2015.3876953125,2011.4853515625,521.4041748046875
2025-02-04 07:00:00,2015.513427734375,2011.443359375,522.243408203125
2025-02-04 07:15:00,2015.4296875,2011.527099609375,522.8308715820312
2025-02-04 07:30:00,2015.4716796875,2011.611083984375,520.7747192382812
2025-02-04 07:45:00,2015.4716796875,2011.4853515625,517.08203125
2025-02-04 08:00:00,2015.513427734375,2011.4853515625,511.71087646484375
2025-02-04 08:15:00,2015.555419921875,2011.4853515625,500.339111328125
2025-02-04 08:30:00,2015.513427734375,2011.4853515625,487.75042724609375
2025-02-04 08:45:00,2015.555419921875,2011.4853515625,476.1688232421875
2025-02-04 09:00:00,2015.513427734375,2011.359375,463.5382080078125
2025-02-04 09:15:00,2015.4716796875,2011.4853515625,450.1941528320313
2025-02-04 09:30:00,2015.4716796875,2011.401123046875,442.011474609375
2025-02-04 09:45:00,2015.555419921875,2011.401123046875,431.730712890625
2025-02-04 10:00:00,2015.4716796875,2011.443359375,428.1219482421875
2025-02-04 10:15:00,2015.4716796875,2011.443359375,421.15625
2025-02-04 10:30:00,2015.4296875,2011.359375,413.980712890625
2025-02-04 10:45:00,2015.4716796875,2011.359375,415.7431640625
2025-02-04 11:00:00,2015.513427734375,2011.359375,407.39263916015625
2025-02-04 11:15:00,2015.59765625,2011.359375,399.92327880859375
2025-02-04 11:30:00,2015.555419921875,2011.3173828125,396.230712890625
2025-02-04 11:45:00,2015.59765625,2011.401123046875,392.32818603515625
2025-02-04 12:00:00,2015.59765625,2011.359375,388.8452758789063
2025-02-04 12:15:00,2015.555419921875,2011.3173828125,385.1106567382813
2025-02-04 12:30:00,2015.639404296875,2011.401123046875,383.39013671875
